"","quality","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","alcohol","pH","calidad_BM"
"1",5,7.4,0.7,0,1.9,9.4,3.5,"1"
"2",5,7.8,0.506631648063034,0,2.6,9.8,3.2,"1"
"3",5,7.8,0.8,0,2.3,9.8,3.3,"1"
"4",6,11.2,0.3,0.6,1.9,9.8,3.2,"1"
"5",5,7.4,0.7,0,1.9,9.4,3.5,"1"
"6",5,7.4,0.7,0,1.8,9.4,3.5,"1"
"7",5,7.9,0.6,0.1,1.6,9.4,3.3,"1"
"8",7,7.3,0.7,0,1.2,10,3.4,"1"
"9",7,7.8,0.6,0,2,9.5,3.4,"1"
"10",5,7.5,0.5,0.4,2.13642908567315,10.5,3.4,"1"
"11",5,6.7,0.6,0.1,1.8,9.2,3.3,"1"
"12",5,7.5,0.5,0.4,2.13642908567315,10.5,3.4,"1"
"13",5,5.6,0.6,0,1.6,9.9,3.6,"1"
"14",5,7.8,0.6,0.3,1.6,9.1,3.3,"1"
"15",5,8.9,0.6,0.2,2.13642908567315,9.2,3.2,"1"
"16",5,8.9,0.6,0.2,2.13642908567315,9.2,3.2,"1"
"17",7,8.5,0.3,0.6,1.8,10.5,3.3,"1"
"18",5,8.1,0.6,0.3,1.7,9.3,3.1,"1"
"19",4,7.4,0.6,0.1,2.13642908567315,9,3.4,"0"
"20",6,7.9,0.3,0.5,1.8,9.2,3,"1"
"21",6,8.9,0.2,0.5,1.8,9.4,3.4,"1"
"22",5,7.6,0.4,0.3,2.3,9.7,3.5,"1"
"23",5,7.9,0.4,0.2,1.6,9.5,3.2,"1"
"24",5,8.5,0.5,0.1,2.3,9.4,3.2,"1"
"25",6,6.9,0.4,0.1,2.4,9.7,3.4,"1"
"26",5,6.3,0.4,0.2,1.4,9.3,3.3,"1"
"27",5,7.6,0.4,0.2,1.8,9.5,3.3,"1"
"28",5,7.9,0.4,0.2,1.6,9.5,3.2,"1"
"29",5,7.1,0.7,0,1.9,9.4,3.5,"1"
"30",6,7.8,0.6,0,2,9.8,3.4,"1"
"31",5,6.7,0.7,0.1,2.4,10.1,3.4,"1"
"32",6,6.9,0.7,0,2.5,10.6,3.5,"1"
"33",5,8.3,0.7,0.1,2.3,9.8,3.2,"1"
"34",6,6.9,0.6,0.1,2.13642908567315,9.4,3.5,"1"
"35",5,5.2,0.3,0.2,1.8,9.2,3.4,"1"
"36",6,7.8,0.6,0,2.13642908567315,9.6,3.4,"1"
"37",6,7.8,0.6,0.1,2.4,10.8,3.4,"1"
"38",7,8.1,0.4,0.3,2.1,9.7,3.2,"1"
"39",4,5.7,0.506631648063034,0.1,1.5,9.8,3.5,"0"
"40",5,7.3,0.4,0.4,2.13642908567315,10.5,3.3,"1"
"41",5,7.3,0.4,0.4,2.13642908567315,10.5,3.3,"1"
"42",4,8.8,0.6,0.3,2.8,9.3,3.3,"0"
"43",6,7.5,0.5,0.2,2.6,10.5,3.2,"1"
"44",5,8.1,0.7,0.2,2.2,10.3,3.3,"1"
"45",5,6.8,0.7,0,1.8,9.5,3.5,"1"
"46",4,4.6,0.5,0.1,2.1,13.1,3.30847896440129,"0"
"47",5,7.7,0.506631648063034,0.4,2.2,9.2,3.2,"1"
"48",5,8.7,0.3,0.5,1.6,9.5,3.2,"1"
"49",5,6.4,0.4,0.2,1.6,9.2,3.3,"1"
"50",5,5.6,0.3,0.4,1.4,9.2,3.3,"1"
"51",5,8.8,0.7,0.3,1.7,9.2,3.1,"1"
"52",6,6.6,0.5,0,2.2,9.4,3.4,"1"
"53",6,6.6,0.5,0,2.1,9.4,3.4,"1"
"54",5,8.6,0.4,0.4,3,9.4,3.2,"1"
"55",6,7.6,0.5,0.1,2.8,10.2,3.2,"1"
"56",5,7.7,0.6,0,2.13642908567315,9.5,3.3,"1"
"57",5,10.2,0.4,0.6,2.13642908567315,9.6,3,"1"
"58",5,7.5,0.6,0.1,2.13642908567315,9.4,3.3,"1"
"59",5,7.8,0.6,0.2,2.3,10,3.4,"1"
"60",6,7.3,0.4,0.3,2.4,9.4,3.4,"1"
"61",5,8.8,0.4,0.4,2.2,9.2,3.4,"1"
"62",5,7.7,0.7,0.5,1.8,9.3,3.2,"1"
"63",7,7.5,0.5,0.2,1.9,9.5,3.4,"1"
"64",5,7,0.7,0,2,9.8,3.4,"1"
"65",5,7.2,0.7,0,2.13642908567315,10.9,3.4,"1"
"66",5,7.2,0.7,0,2.13642908567315,10.9,3.4,"1"
"67",5,7.5,0.5,0.1,1.5,9.6,3.4,"1"
"68",5,6.6,0.7,0.1,1.6,10.7,3.4,"1"
"69",5,9.3,0.3,0.6,2,10.7,3.3,"1"
"70",6,8,0.7,0,1.9,10.5,3.3,"1"
"71",6,7.7,0.6,0.1,1.9,9.5,3.3,"1"
"72",5,7.7,0.7,0.2,2.1,9.5,3.3,"1"
"73",5,7.7,0.7,0.2,1.9,9.5,3.3,"1"
"74",4,8.3,0.7,0.3,2.1,9.2,3.3,"0"
"75",5,9.7,0.3,0.5,2.5,9.6,3.3,"1"
"76",5,8.8,0.4,0.6,2.2,10.5,3.5,"1"
"77",5,8.8,0.4,0.6,2.2,10.5,3.5,"1"
"78",6,6.8,0.8,0,2.4,10.7,3.5,"1"
"79",5,6.7,0.8,0.1,2,10.1,3.4,"1"
"80",4,8.3,0.6,0.2,1.5,9.1,3.2,"0"
"81",5,6.2,0.4,0.2,1.6,9.2,3.4,"1"
"82",5,7.8,0.4,0.7,1.9,9.4,3.1,"1"
"83",5,7.4,0.5,0.5,2,9.1,3.4,"1"
"84",5,7.3,0.7,0.3,1.8,9.4,3.2,"1"
"85",6,6.3,0.3,0.5,1.8,10.3,3.4,"1"
"86",5,6.9,0.6,0.1,2.2,10.1,3.4,"1"
"87",6,8.6,0.5,0.3,1.9,9.9,3.30847896440129,"1"
"88",5,7.7,0.5,0.3,1.9,9.6,3.4,"1"
"89",5,9.3,0.4,0.4,2.1,9.5,3.1,"1"
"90",5,7,0.6,0.1,1.8,9,3.5,"1"
"91",5,7.9,0.5,0.3,1.9,9.5,3.2,"1"
"92",6,8.6,0.5,0.3,1.9,9.9,3.30847896440129,"1"
"93",5,8.6,0.5,0.3,2,9.8,3.30847896440129,"1"
"94",5,7.7,0.5,0.3,1.9,9.6,3.4,"1"
"95",4,5,0.506631648063034,0,1.4,10.5,3.30847896440129,"0"
"96",6,4.7,0.6,0.2,2.3,12.9,3.30847896440129,"1"
"97",5,6.8,0.8,0,3,10.7,3.5,"1"
"98",5,7,0.5,0.2,2,9.2,3.2,"1"
"99",5,7.6,0.506631648063034,0.1,2.5,9.8,3.4,"1"
"100",6,8.1,0.5,0.2,1.9,9,3.3,"1"
"101",6,8.3,0.6,0.3,2.1,10.2,3.4,"1"
"102",6,7.8,0.5,0.3,1.9,10.4,3.3,"1"
"103",6,8.1,0.5,0.2,1.9,9,3.3,"1"
"104",5,8.1,0.6,0.2,2.1,9.2,3.3,"1"
"105",5,7.2,0.5,0.2,2.2,9.4,3.3,"1"
"106",5,8.1,0.6,0.2,2.1,9.2,3.3,"1"
"107",5,7.8,0.4,0.7,1.7,9.3,3.1,"1"
"108",5,6.2,0.6,0.3,1.7,9.3,3.5,"1"
"109",6,8,0.3,0.5,2.5,9.6,3.4,"1"
"110",5,8.1,0.8,0.5,2,9.3,3.2,"1"
"111",5,7.8,0.6,0.2,1.8,9.5,3.2,"1"
"112",5,8.4,0.6,0.1,2.2,9.8,3.1,"1"
"113",5,8.4,0.6,0.1,2.2,9.8,3.1,"1"
"114",6,10.1,0.3,0.4,2.3,9.7,3.3,"1"
"115",5,7.8,0.6,0.2,1.8,9.5,3.2,"1"
"116",6,9.4,0.4,0.3,2.2,10.5,3.1,"1"
"117",6,8.3,0.5,0.3,1.9,10,3.4,"1"
"118",6,7.8,0.6,0.1,2,9.4,3.4,"1"
"119",6,8.8,0.6,0,2.2,10.9,3.2,"1"
"120",6,7,0.7,0.1,1.8,9.2,3.3,"1"
"121",5,7.3,0.506631648063034,0.1,1.7,9,3.3,"1"
"122",6,8.8,0.6,0,2.2,10.9,3.2,"1"
"123",5,7.3,0.7,0,2.5,9.2,3.5,"1"
"124",5,8,0.7,0,2.6,9.5,3.4,"1"
"125",5,7.8,0.5,0.2,1.6,9.5,3.4,"1"
"126",5,9,0.6,0,1.9,9.4,3.2,"1"
"127",5,8.2,0.506631648063034,0,1.7,10.9,3.5,"1"
"128",5,8.1,0.506631648063034,0,1.8,10.9,3.5,"1"
"129",7,8,0.6,0.2,1.8,10.5,3.4,"1"
"130",5,6.1,0.4,0.1,1.8,9.4,3.4,"1"
"131",5,8,0.7,0.6,2,9.4,3.2,"1"
"132",5,5.6,0.5,0.1,2.3,13,3.6,"1"
"133",5,5.6,0.5,0.1,2.3,13,3.6,"1"
"134",6,6.6,0.5,0,1.5,9.8,3.4,"1"
"135",6,7.9,0.506631648063034,0,2.2,9.9,3.2,"1"
"136",5,8.4,0.7,0.1,1.9,9.6,3.2,"1"
"137",5,8.3,0.7,0.1,1.8,9.5,3.2,"1"
"138",5,7.2,0.4,0.4,2,9.2,3.5,"1"
"139",5,7.8,0.6,0.2,2.1,9.5,3.3,"1"
"140",5,7.8,0.6,0.2,2,9.5,3.3,"1"
"141",5,8.4,0.7,0.1,1.9,9.6,3.2,"1"
"142",5,8.3,0.7,0.1,1.8,9.5,3.2,"1"
"143",6,5.2,0.3,0,1.8,10.3794676806084,3.30847896440129,"1"
"144",5,6.3,0.4,0.1,1.7,9.4,3.3,"1"
"145",6,5.2,0.3,0,1.8,10.3794676806084,3.30847896440129,"1"
"146",5,8.1,0.7,0.6,1.8,9.4,3.2,"1"
"147",5,5.8,0.7,0,1.8,10,3.5,"1"
"148",5,7.6,0.5,0.3,1.6,9.3,3.1,"1"
"149",6,6.9,0.5,0.1,2.3,10.2,3.4,"1"
"150",6,8.2,0.4,0.4,2.8,10.5,3.5,"1"
"151",6,7.3,0.3,0.5,2.1,10.3,3.3,"1"
"152",4,9.2,0.5,0.265957446808511,2.13642908567315,9.4,3.30847896440129,"0"
"153",5,7.5,0.6,0,1.8,10.1,3.4,"1"
"154",5,7.5,0.6,0,1.8,10.1,3.4,"1"
"155",5,7.1,0.4,0.4,2.13642908567315,10.5,3.4,"1"
"156",5,7.1,0.4,0.4,2.13642908567315,10.5,3.4,"1"
"157",5,7.1,0.4,0.4,2.13642908567315,10.5,3.4,"1"
"158",5,7.1,0.4,0.4,2.13642908567315,10.5,3.4,"1"
"159",5,7.1,0.7,0,2.2,9.3,3.5,"1"
"160",6,6.8,0.6,0.2,1.9,9.3,3.6,"1"
"161",5,7.6,0.506631648063034,0,2,9.6,3.2,"1"
"162",4,7.6,0.7,0,1.3,9.2,3.2,"0"
"163",6,7.8,0.5,0,1.7,10,3.3,"1"
"164",5,7.4,0.6,0.3,2.13642908567315,9.4,3.4,"1"
"165",5,7.3,0.6,0.3,2.13642908567315,9.4,3.4,"1"
"166",5,7.8,0.6,0.5,1.7,9.5,3.2,"1"
"167",5,6.8,0.6,0.1,2.1,10.2,3.3,"1"
"168",4,7.3,0.6,0,1.6,9,3.4,"0"
"169",6,6.8,0.6,0.1,2.1,10.4,3.5,"1"
"170",5,7.5,0.7,0.2,1.8,9.5,3,"1"
"171",4,7.9,0.506631648063034,0,1.8,9.1,3.4,"0"
"172",6,8,0.4,0.2,2,9.2,3.3,"1"
"173",6,8,0.4,0.2,2,9.2,3.3,"1"
"174",6,7.4,0.6,0,1.9,11.5,3.4,"1"
"175",5,7.3,0.4,0.2,2,9.5,3.3,"1"
"176",5,6.9,0.5,0,1.5,9.5,3.4,"1"
"177",5,7.3,0.4,0.2,2,9.5,3.3,"1"
"178",6,7.5,0.5,0.4,2.3,10.5,3.6,"1"
"179",5,7,0.8,0,2.5,9.6,3.5,"1"
"180",5,8.8,0.6,0.1,2.4,9.5,3.2,"1"
"181",5,8.8,0.6,0.1,2.4,9.5,3.2,"1"
"182",5,8.9,0.6,0.5,2,9.3,3.1,"1"
"183",5,7.2,0.7,0,2.5,9.3,3.4,"1"
"184",5,6.8,0.6,0.2,1.8,9.3,3.5,"1"
"185",6,6.7,0.6,0.2,1.9,9.3,3.5,"1"
"186",5,8.9,0.3,0.6,2,9.7,3.3,"1"
"187",5,7.4,0.4,0.5,2,9.2,3.3,"1"
"188",5,7.7,0.7,0.1,2.6,9.7,3.4,"1"
"189",5,7.9,0.5,0.3,2,9.5,3.2,"1"
"190",5,7.9,0.5,0.3,1.9,9.5,3.2,"1"
"191",5,8.2,0.5,0.3,2.9,9.4,3.2,"1"
"192",6,6.4,0.4,0.2,1.9,9.8,3.6,"1"
"193",5,6.8,0.6,0.1,2.13642908567315,9.5,3.3,"1"
"194",5,7.6,0.6,0.2,2.2,9.7,3.3,"1"
"195",5,7.6,0.6,0.2,2.2,9.7,3.3,"1"
"196",5,7.8,0.6,0.3,2,9.4,3.2,"1"
"197",5,7.3,0.6,0.3,2.4,10.2,3.5,"1"
"198",6,11.5,0.3,0.6,2,10.1,3.1,"1"
"199",7,5.4,0.8,0.1,1.2,13,3.6,"1"
"200",4,6.9,0.506631648063034,0.1,2.1,11.4,3.5,"0"
"201",7,9.6,0.3,0.5,1.4,10.3,3.2,"1"
"202",5,8.8,0.4,0.5,2.1,9.3,3,"1"
"203",5,6.8,0.5,0.1,1.5,9.5,3.4,"1"
"204",5,7,0.4,0.3,1.6,9.2,3.3,"1"
"205",6,7,0.4,0.4,1.6,9.2,3.3,"1"
"206",7,8.08862590401052,0.3,0.7,2.6,10.8,3.2,"1"
"207",7,8.08862590401052,0.3,0.7,2.6,10.8,3.2,"1"
"208",5,7.8,0.6,0.3,1.8,9.3,3.3,"1"
"209",5,7.8,0.4,0.3,2.7,9.4,3.2,"1"
"210",7,11,0.3,0.6,2.1,10.5,3.3,"1"
"211",6,9.7,0.5,0.6,2,12.4,3.3,"1"
"212",6,8,0.7,0.2,2.8,10,3.4,"1"
"213",6,11.6,0.4,0.6,2.1,10.2,3.2,"1"
"214",5,8.2,0.6,0.3,2.2,10.1,3.3,"1"
"215",6,7.8,0.7,0.1,2.4,9.8,3.2,"1"
"216",5,7,0.5,0.5,2.13642908567315,10.5,3.3,"1"
"217",5,8.7,0.6,0.2,2,11,3.1,"1"
"218",5,8.1,0.7,0.2,2.2,9.1,3.4,"1"
"219",5,7.5,0.5,0.2,1.9,9.7,3.4,"1"
"220",5,7.8,0.5,0.3,2.4,9.5,3.3,"1"
"221",6,7.8,0.3,0.4,2,9.4,3.3,"1"
"222",5,7.4,0.5,0.3,2,9.4,3.1,"1"
"223",5,6.8,0.6,0,1.5,9.5,3.4,"1"
"224",6,8.6,0.6,0.2,2,10,3.3,"1"
"225",4,8.4,0.6,0.4,2,10.4,3.3,"0"
"226",6,7.7,0.4,0.2,2.6,10.5,3.4,"1"
"227",6,8.9,0.6,0.5,2,9.5,3,"1"
"228",5,9,0.8,0.1,2.6,9.8,3.4,"1"
"229",6,7.7,0.4,0.2,2.6,10.5,3.4,"1"
"230",5,6.9,0.5,0.2,2.6,11,3.5,"1"
"231",7,5.2,0.5,0,1.6,12.2,3.5,"1"
"232",6,8,0.4,0.1,1.8,9.9,3.4,"1"
"233",6,8.5,0.4,0.2,2.8,9.6,3.3,"1"
"234",5,6.9,0.5,0.2,2.6,11,3.5,"1"
"235",6,8.2,0.506631648063034,0.1,2.3,9,3.3,"1"
"236",6,7.2,0.6,0,1.9,9,3.4,"1"
"237",6,7.2,0.6,0,1.9,9,3.4,"1"
"238",6,7.2,0.6,0,1.9,9.2,3.4,"1"
"239",6,7.2,0.6,0,1.9,9,3.4,"1"
"240",6,8.2,0.506631648063034,0.1,2.3,9,3.3,"1"
"241",5,8.9,0.6,0.4,1.7,9.3,3,"1"
"242",6,8.08862590401052,0.4,0.6,2.1,10.9,3.1,"1"
"243",6,7.7,0.6,0.1,1.8,9.8,3.1,"1"
"244",7,8.08862590401052,0.2,0.4,2.2,9.2,3.1,"1"
"245",7,8.08862590401052,0.2,0.4,2.2,9.2,3.1,"1"
"246",6,7.3,0.7,0,2,9.9,3.6,"1"
"247",5,7.1,0.7,0.1,1.9,9.5,3.4,"1"
"248",5,8.2,0.6,0.2,2.3,9.3,3.2,"1"
"249",6,7.7,0.5,0.1,1.7,9.8,3.4,"1"
"250",6,7.3,0.7,0,2,9.9,3.6,"1"
"251",6,10.8,0.3,0.4,1.6,10,3.2,"1"
"252",6,7.1,0.6,0,1.8,9.9,3.5,"1"
"253",5,11.1,0.3,0.5,3.1,10.5,3.2,"1"
"254",5,7.7,0.8,0.4,1.9,9.5,3.2,"1"
"255",6,7.1,0.6,0,1.8,9.9,3.5,"1"
"256",5,8,0.6,0.2,2.13642908567315,9.3,3.3,"1"
"257",5,9.4,0.3,0.4,2.2,9.2,3.2,"1"
"258",5,6.6,0.7,0,2.1,9.2,3.5,"1"
"259",5,7.7,0.4,0.8,1.8,9.4,3.1,"1"
"260",7,10,0.3,0.5,2.6,10.5,3.4,"1"
"261",5,7.9,0.3,0.2,1.7,9.3,3.3,"1"
"262",4,7,0.506631648063034,0,2,9.4,3.4,"0"
"263",5,8,0.5,0,1.7,10,3.3,"1"
"264",5,7.9,0.4,0.2,1.8,9.3,3.3,"1"
"265",5,8.08862590401052,0.6,0.5,2.4,10.9,3.1,"1"
"266",7,11.8,0.3,0.5,1.8,10.2,3.2,"1"
"267",4,8.1,0.506631648063034,0,2.13642908567315,9.8,3.6,"0"
"268",8,7.9,0.3,0.5,2.13642908567315,12.8,3.4,"1"
"269",6,6.9,0.5,0,3,9.4,3.30847896440129,"1"
"270",6,11.5,0.2,0.5,2.13642908567315,10.1,3.3,"1"
"271",6,7.9,0.5,0.1,2.13642908567315,10.7,3.4,"1"
"272",6,11.5,0.2,0.5,2.13642908567315,10.1,3.3,"1"
"273",5,10.9,0.4,0.6,2.13642908567315,10.1,3.2,"1"
"274",5,8.4,0.7,0.2,2.4,9.4,3.3,"1"
"275",5,7.5,0.7,0.2,2.13642908567315,9.4,3.4,"1"
"276",6,7.9,0.5,0.1,2.13642908567315,10.7,3.4,"1"
"277",6,6.9,0.5,0,3,9.4,3.30847896440129,"1"
"278",6,11.5,0.2,0.5,2.13642908567315,10.1,3.3,"1"
"279",8,10.3,0.3,0.4,2.13642908567315,12.6,3.2,"1"
"280",7,8.9,0.4,0.3,2.13642908567315,10.5,3.4,"1"
"281",6,11.4,0.3,0.4,2.13642908567315,9.3,3.1,"1"
"282",7,7.7,0.3,0.7,2.13642908567315,9.9,3.2,"1"
"283",5,7.6,0.5,0.1,3,9.1,3.4,"1"
"284",7,8.9,0.4,0.3,2.13642908567315,10.5,3.4,"1"
"285",5,9.9,0.6,0.1,2.13642908567315,9.8,3.3,"1"
"286",5,9.9,0.6,0.1,2.13642908567315,9.8,3.3,"1"
"287",6,8.08862590401052,0.4,0.6,2,10.3,3.1,"1"
"288",6,7.5,0.4,0.1,3,10.3,3.4,"1"
"289",7,8.7,0.5,0.1,2.5,10.6,3.3,"1"
"290",5,11.6,0.4,0.5,2.13642908567315,9.2,3.2,"1"
"291",7,8.7,0.5,0.1,2.5,10.6,3.3,"1"
"292",5,11,0.2,0.5,2,10.5,3.3,"1"
"293",6,10.4,0.6,0.2,2.7,10.3,3.2,"1"
"294",6,6.9,0.4,0.2,2.4,10.1,3.4,"1"
"295",6,8.08862590401052,0.3,0.5,2.13642908567315,9.5,3,"1"
"296",5,10.8,0.5,0.5,2.5,9.5,3,"1"
"297",5,10.6,0.8,0.4,2.6,9.9,3.2,"1"
"298",5,7.1,0.6,0.1,2,9.6,3.30847896440129,"1"
"299",5,7.2,0.7,0,2.3,9.7,3.30847896440129,"1"
"300",5,6.9,0.7,0.1,2.1,9.6,3.30847896440129,"1"
"301",6,7.5,0.5,0.1,2.6,10.7,3.4,"1"
"302",6,11.1,0.2,0.5,1.5,10.1,3.2,"1"
"303",5,8.3,0.7,0.1,2.6,10,3.5,"1"
"304",5,7.4,0.7,0.1,1.6,9.5,3.4,"1"
"305",5,8.4,0.7,0.6,2.1,9.2,3.2,"1"
"306",6,10.3,0.5,0.5,2.5,9.3,3.1,"1"
"307",5,7.6,0.6,0.3,2.2,9.4,3.4,"1"
"308",6,10.3,0.4,0.4,2.4,9.5,3.2,"1"
"309",6,10.3,0.4,0.4,2.4,9.5,3.2,"1"
"310",6,7.4,0.3,0.4,1.7,9.5,3.4,"1"
"311",6,10.3,0.5,0.5,2.5,9.3,3.1,"1"
"312",6,7.9,0.5,0.2,2,9.4,3.3,"1"
"313",6,9,0.5,0.3,2.8,9.5,3.3,"1"
"314",5,8.6,0.5,0.3,3,9.4,3.3,"1"
"315",5,7.4,0.4,0.3,2.6,11,3.4,"1"
"316",6,7.1,0.3,0.3,2.5,11,3.4,"1"
"317",5,9.6,0.6,0.2,2.13642908567315,10.1,3.3,"1"
"318",6,9.6,0.8,0.1,2.9,10.4,3.3,"1"
"319",7,9.8,0.7,0.4,2.13642908567315,11.5,3.4,"1"
"320",6,9.6,0.8,0.1,2.9,10.4,3.3,"1"
"321",7,9.8,0.7,0.4,2.13642908567315,11.5,3.4,"1"
"322",5,9.3,0.6,0.3,2.13642908567315,9.7,3.2,"1"
"323",5,7.8,0.6,0,2.3,9.3,3.3,"1"
"324",6,10.3,0.6,0.4,2.8,9.5,3.3,"1"
"325",6,10,0.5,0.2,2.13642908567315,9.2,3.2,"1"
